country,carrier_group,twh
AT,Bioenergy,4.67
AT,Gas,7.54
AT,Hydro,45.71
AT,Solar,8.14
AT,Wind,9.14
BE,Bioenergy,3.61
BE,Gas,14.17
BE,Hydro,0.55
BE,Nuclear,31.25
BE,Solar,8.56
BE,Wind,14.06
BG,Bioenergy,1.72
BG,Coal,8.76
BG,Gas,2.04
BG,Hydro,2.79
BG,Nuclear,15.78
BG,Solar,5.49
BG,Wind,1.46
CH,Bioenergy,1.04
CH,Gas,0.27
CH,Hydro,44.94
CH,Nuclear,24.02
CH,Solar,5.66
CH,Wind,0.18
CZ,Bioenergy,5.38
CZ,Coal,26.52
CZ,Gas,3.79
CZ,Hydro,2.66
CZ,Nuclear,29.7
CZ,Solar,3.59
CZ,Wind,0.67
DE,Bioenergy,51.08
DE,Coal,106.33
DE,Gas,78.41
DE,Hydro,23.83
DE,Solar,74.13
DE,Wind,141.6
DK,Bioenergy,7.06
DK,Coal,1.75
DK,Gas,0.91
DK,Solar,3.78
DK,Wind,20.41
EE,Bioenergy,1.34
EE,Solar,1.07
EE,Wind,1.05
ES,Bioenergy,6.17
ES,Coal,2.58
ES,Gas,52.34
ES,Hydro,34.41
ES,Nuclear,54.53
ES,Solar,58.29
ES,Wind,62.2
FI,Bioenergy,10.39
FI,Coal,0.83
FI,Gas,0.82
FI,Hydro,14.3
FI,Nuclear,32.6
FI,Solar,0.94
FI,Wind,20.48
FR,Bioenergy,10.68
FR,Coal,1.02
FR,Gas,18.1
FR,Hydro,71.12
FR,Nuclear,380.45
FR,Solar,25.06
FR,Wind,45.43
GB,Bioenergy,40.09
GB,Coal,1.9
GB,Gas,86.3
GB,Hydro,5.76
GB,Nuclear,40.59
GB,Solar,14.79
GB,Wind,83.28
GR,Bioenergy,0.71
GR,Coal,3.27
GR,Gas,21.53
GR,Hydro,3.58
GR,Solar,11.26
GR,Wind,12.55
HR,Bioenergy,1.0
HR,Coal,0.8
HR,Gas,3.25
HR,Hydro,6.73
HR,Solar,0.82
HR,Wind,2.68
HU,Bioenergy,1.83
HU,Coal,2.44
HU,Gas,7.13
HU,Hydro,0.23
HU,Nuclear,16.02
HU,Solar,9.2
HU,Wind,0.69
IE,Bioenergy,1.0
IE,Coal,0.63
IE,Gas,15.1
IE,Hydro,0.77
IE,Solar,1.09
IE,Wind,11.6
IT,Bioenergy,17.23
IT,Coal,3.95
IT,Gas,118.59
IT,Hydro,53.13
IT,Solar,35.99
IT,Wind,22.22
LT,Bioenergy,0.98
LT,Gas,0.84
LT,Hydro,0.44
LT,Solar,1.4
LT,Wind,3.41
LV,Bioenergy,0.62
LV,Gas,1.68
LV,Hydro,3.21
LV,Solar,0.54
LV,Wind,0.28
NL,Bioenergy,6.68
NL,Coal,7.47
NL,Gas,44.29
NL,Nuclear,3.57
NL,Solar,21.82
NL,Wind,33.48
NO,Bioenergy,0.24
NO,Gas,1.47
NO,Hydro,139.55
NO,Solar,0.53
NO,Wind,14.6
PL,Bioenergy,7.95
PL,Coal,93.5
PL,Gas,20.46
PL,Hydro,2.11
PL,Solar,17.66
PL,Wind,25.89
PT,Bioenergy,3.75
PT,Gas,5.63
PT,Hydro,14.89
PT,Solar,7.09
PT,Wind,14.34
RO,Bioenergy,0.48
RO,Coal,7.96
RO,Gas,9.15
RO,Hydro,14.19
RO,Nuclear,10.91
RO,Solar,3.42
RO,Wind,6.43
SE,Bioenergy,10.18
SE,Gas,0.11
SE,Hydro,64.61
SE,Nuclear,50.67
SE,Solar,4.16
SE,Wind,40.45
SI,Bioenergy,0.25
SI,Coal,3.5
SI,Gas,0.48
SI,Hydro,5.34
SI,Nuclear,5.84
SI,Solar,1.27
SK,Bioenergy,1.58
SK,Coal,0.52
SK,Gas,2.88
SK,Hydro,4.83
SK,Nuclear,18.23
SK,Solar,0.69
