group,zones,carrier_group,target_twh,basis
AT_wind,AT00,wind,9.365,entsoe
BE_wind,BE00,wind,14.1,entsoe_rescaled_ember
BG_wind,BG00,wind,1.35,entsoe
CH_wind,CH00,wind,0.2,entsoe_rescaled_ember
CZ_wind,CZ00,wind,0.696,entsoe
DE_LU_wind,DE00;LUG1,wind,138.694,entsoe
DK_1_wind,DKW1,wind,15.302,entsoe
DK_2_wind,DKE1,wind,5.139,entsoe
EE_wind,EE00,wind,1.0,entsoe_rescaled_ember
ES_wind,ES00,wind,58.975,entsoe
FI_wind,FI00,wind,19.461,entsoe
FR_wind,FR00,wind,45.864,entsoe
GR_wind,GR00,wind,12.6,entsoe_rescaled_ember
HR_wind,HR00,wind,2.616,entsoe
HU_wind,HU00,wind,0.634,entsoe
IE_SEM_wind,IE00;GBNI,wind,12.583,entsoe
IT_NORD_wind,ITN1,wind,0.494,entsoe
IT_CNOR_wind,ITCN,wind,0.277,entsoe
IT_CSUD_wind,ITCS,wind,4.233,entsoe
IT_SUD_wind,ITS1,wind,9.134,entsoe
IT_CALA_wind,ITCA,wind,2.158,entsoe
IT_SICI_wind,ITSI,wind,3.814,entsoe
IT_SARD_wind,ITSA,wind,1.852,entsoe
LT_wind,LT00,wind,3.288,entsoe
LV_wind,LV00,wind,0.273,entsoe
NL_wind,NL00,wind,33.5,entsoe_rescaled_ember
NO_1_wind,NOS1,wind,0.952,entsoe
NO_2_wind,NOS2,wind,4.516,entsoe
NO_3_wind,NOM1,wind,5.678,entsoe
NO_4_wind,NON1,wind,3.385,entsoe
NO_5_wind,NOS5,wind,0.0,entsoe
PL_wind,PL00,wind,23.804,entsoe
PT_wind,PT00,wind,14.143,entsoe
RO_wind,RO00,wind,6.336,entsoe
RS_wind,RS00,wind,1.095,entsoe
SE_1_wind,SE01,wind,7.464,entsoe
SE_2_wind,SE02,wind,16.891,entsoe
SE_3_wind,SE03,wind,10.116,entsoe
SE_4_wind,SE04,wind,5.863,entsoe
GB_wind,GB00;GBZE,wind,83.3,ember
BA_wind,BA00,wind,0.4,ember
ME_wind,ME00,wind,0.3,ember
MK_wind,MK00,wind,0.2,ember
XK_wind,XK00,wind,0.4,ember
AT_solar,AT00,solar,8.1,entsoe_rescaled_ember
BE_solar,BE00,solar,8.326,entsoe
BG_solar,BG00,solar,5.5,entsoe_rescaled_ember
CH_solar,CH00,solar,5.7,entsoe_rescaled_ember
CZ_solar,CZ00,solar,3.906,entsoe
DE_LU_solar,DE00;LUG1,solar,74.1,entsoe_rescaled_ember
DK_1_solar,DKW1,solar,2.622,entsoe
DK_2_solar,DKE1,solar,1.077,entsoe
EE_solar,EE00,solar,1.005,entsoe
ES_solar,ES00,solar,58.3,entsoe_rescaled_ember
FI_solar,FI00,solar,0.9,entsoe_rescaled_ember
FR_solar,FR00,solar,23.321,entsoe
GR_solar,GR00,solar,11.367,entsoe
HR_solar,HR00,solar,0.8,entsoe_rescaled_ember
HU_solar,HU00,solar,9.2,entsoe_rescaled_ember
IE_solar,IE00;GBNI,solar,1.1,ember
IT_NORD_solar,ITN1,solar,12.526,entsoe_rescaled_ember
IT_CNOR_solar,ITCN,solar,2.987,entsoe_rescaled_ember
IT_CSUD_solar,ITCS,solar,6.963,entsoe_rescaled_ember
IT_SUD_solar,ITS1,solar,6.493,entsoe_rescaled_ember
IT_CALA_solar,ITCA,solar,1.049,entsoe_rescaled_ember
IT_SICI_solar,ITSI,solar,3.778,entsoe_rescaled_ember
IT_SARD_solar,ITSA,solar,2.205,entsoe_rescaled_ember
LT_solar,LT00,solar,1.393,entsoe
LV_solar,LV00,solar,0.5,entsoe_rescaled_ember
NL_solar,NL00,solar,21.8,entsoe_rescaled_ember
NO_1_solar,NOS1,solar,0.5,entsoe_rescaled_ember
NO_2_solar,NOS2,solar,0.0,entsoe_rescaled_ember
NO_3_solar,NOM1,solar,0.0,entsoe_rescaled_ember
NO_4_solar,NON1,solar,0.0,entsoe_rescaled_ember
NO_5_solar,NOS5,solar,0.0,entsoe_rescaled_ember
PL_solar,PL00,solar,17.345,entsoe
PT_solar,PT00,solar,7.1,entsoe_rescaled_ember
RO_solar,RO00,solar,3.4,entsoe_rescaled_ember
RS_solar,RS00,solar,0.2,ember
SE_1_solar,SE01,solar,0.019,entsoe_rescaled_ember
SE_2_solar,SE02,solar,0.149,entsoe_rescaled_ember
SE_3_solar,SE03,solar,2.399,entsoe_rescaled_ember
SE_4_solar,SE04,solar,1.633,entsoe_rescaled_ember
SI_solar,SI00,solar,1.3,entsoe_rescaled_ember
SK_solar,SK00,solar,0.7,entsoe_rescaled_ember
GB_solar,GB00;GBZE,solar,14.8,ember
AL_solar,AL00,solar,0.3,ember
BA_solar,BA00,solar,0.4,ember
ME_solar,ME00,solar,0.1,ember
MK_solar,MK00,solar,0.9,ember
