zone,mean_price_2024,basis
AL00,76.975,continental_mean_fallback
AT00,81.551,entsoe
BA00,76.975,continental_mean_fallback
BE00,70.322,entsoe
BG00,102.57,entsoe
CH00,75.965,entsoe
CZ00,85.107,entsoe
DE00,78.512,entsoe
DKE1,70.86,entsoe
DKW1,70.643,entsoe
EE00,87.262,entsoe
ES00,63.049,entsoe
ESMA,76.975,continental_mean_fallback
FI00,45.566,entsoe
FR00,58.019,entsoe
FR15,76.975,continental_mean_fallback
GB00,76.975,continental_mean_fallback
GBNI,76.975,continental_mean_fallback
GBZE,76.975,continental_mean_fallback
GR00,100.881,entsoe
HR00,94.705,entsoe
HU00,100.83,entsoe
IE00,108.914,entsoe
ITCA,109.142,entsoe
ITCN,109.443,entsoe
ITCS,109.82,entsoe
ITN1,107.412,entsoe
ITS1,109.142,entsoe
ITSA,106.2,entsoe
ITSI,112.209,entsoe
LT00,87.333,entsoe
LUG1,78.512,entsoe
LV00,87.422,entsoe
ME00,76.975,continental_mean_fallback
MK00,76.975,continental_mean_fallback
NL00,77.289,entsoe
NOM1,28.166,entsoe
NON1,23.343,entsoe
NOS1,42.032,entsoe
NOS2,50.124,entsoe
NOS5,41.025,entsoe
PL00,96.251,entsoe
PT00,63.46,entsoe
RO00,103.538,entsoe
RS00,76.975,continental_mean_fallback
SE01,25.051,entsoe
SE02,24.641,entsoe
SE03,35.768,entsoe
SE04,49.708,entsoe
SI00,91.299,entsoe
SK00,92.903,entsoe
XK00,76.975,continental_mean_fallback
